13 2321 12010
0 202 -0.071084 0.0685892
1 202 -0.0508819 0.0753308
0 203 -0.0534072 0.0685892
1 203 -0.0340469 0.0761735
0 204 -0.0256294 0.0685892
1 204 -0.0104778 0.0753308
0 205 -0.0231041 0.0685892
1 205 -0.00795254 0.0753308
0 206 -0.100545 0.0702746
1 206 -0.0814656 0.0779994
0 207 -0.0929696 0.0702746
1 207 -0.0727675 0.0778589
0 208 0.000464989 0.0736454
1 208 0.0164583 0.0795443
0 209 -0.0828686 0.0744881
1 209 -0.06435 0.0820725
0 210 -0.0130031 0.0770162
1 210 0.00214847 0.0829151
0 211 0.0669634 0.0989266
1 211 0.078748 0.103983
0 212 -0.0214206 0.101455
1 212 -0.0057079 0.107494
0 213 0.010566 0.101455
1 213 0.0257176 0.107354
0 214 -0.0273129 0.107354
1 214 -0.0113195 0.11241
0 215 -0.0340469 0.108196
1 215 -0.0188953 0.113253
0 216 0.0164583 0.108196
1 216 0.0316098 0.114095
0 217 -0.071084 0.114938
1 217 -0.0542489 0.12168
0 218 0.0164583 0.119994
1 218 0.0316098 0.125893
0 219 -0.0231041 0.124208
1 219 -0.00711078 0.130107
0 220 -0.0635082 0.125893
1 220 -0.0466732 0.131792
0 221 0.0198253 0.127579
1 221 0.0349769 0.132635
0 222 0.0652799 0.130949
1 222 0.0777659 0.135584
0 223 0.0694887 0.130949
1 223 0.0812733 0.135163
0 224 -0.0458314 0.133477
1 224 -0.030259 0.139798
0 225 0.0223506 0.136006
1 225 0.0366603 0.141062
0 226 -0.0281546 0.138534
1 226 -0.0130031 0.14359
0 227 -0.0256294 0.140219
1 227 -0.0104778 0.145275
0 228 0.0181418 0.142747
1 228 0.0332933 0.147803
0 229 -0.0205788 0.146961
1 229 -0.0054273 0.152017
0 230 0.068647 0.148646
1 230 0.0812732 0.153141
0 231 0.0728557 0.158759
1 231 0.0847805 0.162972
0 232 0.0703304 0.161287
1 232 0.082115 0.1655
0 233 0.0678052 0.162972
1 233 0.0804315 0.166343
0 234 -0.0407809 0.163815
1 234 -0.0264711 0.168871
0 235 0.0678052 0.166343
1 235 0.0805717 0.169995
0 236 0.068647 0.172242
1 236 0.0804315 0.17595
0 237 0.0678052 0.17477
1 237 0.0798703 0.177719
0 238 0.072014 0.185725
1 238 0.0837985 0.189096
0 239 0.078748 0.209321
1 239 0.0910937 0.211428
0 240 0.0770645 0.210164
1 240 0.088849 0.212692
0 241 0.072014 0.211006
1 241 0.0829567 0.214377
0 242 0.0577042 0.216905
1 242 0.0703304 0.220276
0 243 0.0400273 0.221961
1 243 0.0534954 0.225332
0 244 0.0375021 0.222804
1 244 0.0501284 0.226512
0 245 -0.0390974 0.223647
1 245 -0.0247876 0.22786
0 246 0.024034 0.22449
1 246 0.0383439 0.22786
0 247 -0.0172118 0.225332
1 247 -0.00290201 0.229546
0 248 0.0215088 0.225332
1 248 0.0358186 0.228703
0 249 -0.0214206 0.226175
1 249 -0.00711078 0.230388
0 250 -0.0138448 0.226175
1 250 0.000464989 0.230388
0 251 0.0147748 0.226175
1 251 0.0290846 0.229546
0 252 -0.0296698 -0.247762
1 252 -0.0175485 -0.23765
0 253 -0.0256294 -0.234616
1 253 -0.012498 -0.224503
0 254 -0.0276496 -0.225515
1 254 -0.0145182 -0.215402
0 255 -0.0236091 -0.128435
1 255 -0.00946772 -0.118323
0 256 -0.022599 -0.0778729
1 256 -0.00845761 -0.0697829
0 257 0.00669396 -0.0768616
1 257 0.0198253 -0.0687717
0 258 0.0137647 -0.0768616
1 258 0.0248758 -0.0687717
0 259 -0.0448213 -0.0718054
1 259 -0.0306799 -0.0637154
0 260 -0.00138688 -0.0697829
1 260 0.0137647 -0.0616929
0 261 0.0258859 -0.0677604
1 261 0.0390172 -0.0596704
0 262 0.0228556 -0.0667492
1 262 0.035987 -0.0586592
0 263 -0.0286597 -0.0657379
1 263 -0.0145182 -0.057648
0 264 -0.000376772 -0.0616929
1 264 0.0157849 -0.0525917
0 265 -0.0438112 -0.0606817
1 265 -0.0306799 -0.0525917
0 266 -0.0266395 -0.0606817
1 266 -0.0114879 -0.0525917
0 267 -0.00340709 -0.0606817
1 267 0.0117444 -0.0525917
0 268 -0.0276496 -0.0556255
1 268 -0.012498 -0.0475355
0 269 -0.0185586 -0.0515805
